Chromium f8675cbb337440a11bf9afb10ea11bae42bb92cb
WPT 790279663be2b1f314186c1863b7c60a07013f58
WPT 2f08c859efae8478315299c5fda54b6cf7af8080 latency=3311.01666667
7/199 import d0743eec710416c3874c0a0ced4f836dac1fc3ac
WPT 15b0fb362111166b6d279074071e27dbae6aee37 latency=220.766666667
WPT 511cb08415f3a5a18bc52c9569d5cd2554fa8a01 latency=243.066666667
WPT ede05920c04d5baea9a13ba7d2982e828d2e916e latency=288.85
WPT e2fa5a147226278298166bae7ded0e0f4ce4dbac latency=452.0
WPT 970d46e5f30e33ca3d5320c8c1d543ff5abebc38 latency=495.166666667
WPT 63feac3acdcce3e0cf1ec46d0fbf2e943f5838b4 latency=582.9
8/199 import 4775c114ec4e93e80688ab0b712f57a3c7980206
WPT 06ee473fb321c092bb5f0368d3537086addc2d1a latency=263.716666667
WPT 35a890062972c919965104bb790e2566949f7489 latency=541.95
WPT d8f789878b359c58ebad395442ec4eb42050cbd9 latency=840.183333333
WPT f506e30d704cc94d41e2687bccadb3b0c1643417 latency=1039.18333333
9/199 import b74dc4eb5c3e9e9db4f29763a37c80530dda5f13
WPT 09c7045152fc66f9ffe8328ba0ebda20a7e1fe90 latency=264.816666667
WPT b164e05889cf7771deace4f815e5f42b2b8fc159 latency=267.5
WPT 354f583a9d0c704fd482b9c7c74a8de908a1aed7 latency=462.5
WPT 4c1ca0d9230199461f1694ceb1aab4a5e227ae8f latency=478.216666667
WPT b148f8ea7b37eb619a43867f70800aa0ba9645ad latency=503.716666667
WPT 6f8c0ca20dd7b806fce2eaee2a1568648fbef765 latency=628.833333333
WPT a9dfc8ef1404eefabbe15632e36680e24bacfe13 latency=915.55
WPT 0c764513529a7bdd6fe819eb613de205b99a1bcf latency=1219.18333333
WPT 50d08ddc4269d774f76e167d87495a141df7134b latency=1281.73333333
WPT 4978e20bc2108f0ae4dfb09e3718dbabca2935ce latency=1431.11666667
10/199 import 862127a0301f53700d2e28dfa9533e6118fbe95b
WPT 37cf5607a39357a0f213ab5df2e6b30499b0226f latency=358.0
WPT a2c528a999ee911bb60fd7ae61d75079a1822c8c latency=358.0
WPT 0e9ff8ddf93eb66ea60827ee7164b98d4dafe768 latency=358.0
WPT b9d2b6e22063c5bc136b9131c818122dee3bebac latency=358.0
WPT 3289b60776c67d02e26ee07b0fc10475d9512d87 latency=358.0
WPT 87c420643593ae422ec56257d5f021dd0b7ca527 latency=358.0
WPT c0bef78c1847336de3c8b178037d234062f82201 latency=358.0
WPT 9463de5fb5c9a0288bb263000b6be6e927c19857 latency=439.633333333
WPT 300641bcdec2dad86715ebfe519ec5e9fc73da76 latency=553.05
WPT 0bc824afb05cc28fc37c31ae29a3444510979851 latency=559.4
WPT 39a0737d1634600ad83885d51e215b0bf031afcf latency=640.716666667
WPT 6048c3b213a80d61bab8925c33120aec6eb23341 latency=1268.0
WPT 9fbbe46dbdc11cf01e71cc253bde6fe49627d556 latency=1268.56666667
WPT d90d873c445e22682d6617b8aa46184b146aa80c latency=1341.1
WPT 1de7a033affff77e933e493a28fc57c0cdc5a758 latency=1491.71666667
WPT eba1634eacbc0cdc45ea2eab8c11baa600b55940 latency=1518.86666667
WPT a1f53671b1d4b522dc32b5168fb087cb33088c34 latency=1518.86666667
WPT 1dfa574650addf1547a02eeb4f1c87b8855cdd79 latency=3381.96666667
WPT 153e3fc2acb6f39deef0ba3e6b7a9c4b5a7fd085 latency=3618.15
WPT 091233ac1b29275ebe8c9f91acd129fe4085fdb1 latency=4465.65
WPT 9acb9b580f8faf96f25ee732d46486607ae6f237 latency=4534.58333333
WPT 37f99dda6eb406ec196ab4bf7e18183fbafab801 latency=4542.28333333
WPT 5726fd82d2bf96d954a450f58aca08973fe92dd3 latency=4660.75
WPT a1c0107a1ec1af1c2b905f39314a760a4b65a0c3 latency=4668.28333333
WPT 6d43e95a5195f5399ade66f4a99dcb123416b72e latency=4683.83333333
WPT c07a244ceef0d0833f61f2efa227bc1c65371c9c latency=4738.1
WPT d8f68e0af0d616bee8ae3c5c530654b4b729f8fa latency=4791.13333333
WPT 9232047bbf4c46461405e61344936ab2381de57c latency=4807.08333333
WPT 8243e5308d06ab847b87d6b04d1644b5a6a40ebd latency=4934.36666667
WPT 35861346cf69284e2adea236d0ef806fd5229606 latency=4942.13333333
WPT 517bc937e7c991c10e5d108cc461419532a7bfd6 latency=5029.21666667
WPT 74148296efcab672e46e2d2f48babdb7482450b8 latency=5073.68333333
WPT c2d0053cfa86b78aa7fcbe09b881d13d493ac38b latency=5102.61666667
WPT b8d5628e75dcc31a10dd364869eb3680623b74c6 latency=5556.78333333
WPT b15d1b9062acb32f2ff67a01cb82c5ef23166ac5 latency=5611.0
WPT 3e80ee1ce4dffeceb19942c9498f68e609b34ba5 latency=5611.0
WPT 41f06d4c660aa97ba9ec08be03723460bdfd6c96 latency=5944.25
WPT 6e57e5684a8d430ab1a07e79a3d3742dad8b3f4a latency=5979.8
WPT 904c7f8e555461ef5572702756123181897514ed latency=6015.86666667
WPT a7dc4c5ba032df522ae56aa53f2157423e4d7c3e latency=6016.63333333
WPT 4cc078df8499e69e1efa5008ecb60177bb1b705a latency=6022.2
WPT 2e3120286493e5f3be99416e51eb691572b1c76d latency=6047.6
WPT cf406ff8985f03c000d0db5fa7596acecfb7a260 latency=6050.86666667
WPT 169bae3d10d71b44dd78a25ccddf93688d5abd5e latency=6083.96666667
WPT 363e4249e66a8e0a504eb98d9d4af75ea8a7f1ee latency=6124.43333333
WPT 1b77ee88d9f8238f867926f095efbdd1a2c2c42c latency=6125.51666667
WPT b630d0e28011af62b5bb0b354b7cfd01debeb401 latency=6147.45
WPT 1551e85b7d5e9fa6dfdf4db754a045c9060226db latency=6148.13333333
WPT d06fcd74c5d37b6f2c43cf354022eccadb3a8a1e latency=6405.7
WPT 34c61eff5eab4ebe9ff271e46658f73f18858c4f latency=6551.8
WPT 21ecb70bc27fbee73f96736a6c85089fbe6ab95d latency=6593.43333333
WPT 8d4d65a3ce41d46188441c4311033c3d7581c4fc latency=6674.23333333
WPT b52f9c78b49aefa0c8b8d1db74e5eceda91f3405 latency=6914.1
WPT 2c04684030bae684525ba2fcd2b66c9e85c55c35 latency=7328.68333333
WPT 41fcd4cf5b9303e816b9530f7712570e26fbefdd latency=7516.73333333
WPT 6a15dc94ff2677911974772bc38294b872d01b0d latency=7582.41666667
WPT dde1b0a9ed5bb87c6852504e9c050d51043d26ae latency=7648.73333333
WPT c9d5acecc1d463c80cd968c30ebe5529ad261c8b latency=7738.55
WPT e14105e72e126f4f28d06353997dc2fad1087cfe latency=7786.56666667
WPT 0e896d8c31b4a691ee7c774e45899b216dafba15 latency=9165.63333333
WPT a7355811070af4633915c2ba4421dd2ac2063633 latency=12828.1
11/199 import bf68532e09c68f8e19097f7d7296303b1ddd8534
WPT 8efda5008ad6c80408e4736ec8476fb395e29d6f latency=203.933333333
WPT c12f91014a4d07dfcb1b2caaa99f75f6ae72cbae latency=304.55
WPT 5136eac9224ee628031d843b8f61eb7b4cfe47f5 latency=321.45
12/199 import 3e4210b22440939d57e05fb14564294e423c846b
WPT b952881825e7d3974f5c513e13e544d525c0a631 latency=300.0
WPT 68349335e6a7da1514d06e864b6e21e2ba74eb7c latency=351.966666667
13/199 import 84eb950e7ee2a8c1e64b12adff83cb34e6f4d64d
WPT 75c6dd3dfd25a6993aa417eb2f2fc890be9a2a9f latency=213.8
WPT 7d504a2b3167daf3e7208264f0cae0382db0141b latency=244.766666667
WPT faa11ee7ad3dd1fd97cd255ef2fc7a55dcde607d latency=708.966666667
14/199 import be52c798aa6a4750e5da9ad529f5a667b4616858
WPT bd342b8b6dd6cfb47dd0f9fcd92e62e9440a1af0 latency=431.766666667
WPT 35222e2829eecf88ba63bccc420ec7a87d42de22 latency=751.2
WPT 89f10df7ee9400db78fa73e196f76a76b05fa428 latency=844.783333333
15/199 import 09265f697de2bc2e9017dcf56edbd67307300a91
WPT 238e9855c35a3570f824b837826aac71e50722f4 latency=372.75
WPT e54fe8fd5fe185ff422811b075de3de1fdc1c9ba latency=518.8
WPT 62eb10e8796105a25ab82003265a80aa2d762f84 latency=520.95
WPT e03a9b1341ae9bdb1e4fa03765257b84d26fe2f1 latency=725.0
WPT 6c9619e3e34e216f3deac1ba5291b24401da752f latency=725.2
WPT 40d5163bfccd9ae2dd87b4c720c81124920931d3 latency=725.383333333
WPT 5fa8c87a2b50cf87b0231527b9e7a1bf39b2de7b latency=725.55
WPT df7f8966862ae9268091bc84ebafc0b9a89706b0 latency=725.683333333
WPT 44c5a07d369c8724d30751622e2ef8724772f8d9 latency=725.683333333
WPT 839be7e303a263fc6372c149b3340133b0b823c5 latency=725.683333333
WPT f5aed69befaab067bedd6124a9effbecb92ad861 latency=725.683333333
WPT a372dce582c21c911056273eec042fd9073cbd60 latency=736.116666667
WPT 20ed74d01f5b5cb0124b6a2a4e34a4bf9c8223d2 latency=736.4
WPT ceec4e838e15b27a6b6eee85acb1d5b157cf9f92 latency=736.666666667
WPT 14dbe361417ee0f6a78267ed1555460703c6406e latency=737.333333333
WPT 5418fc8d38d53f76548dc3b2f2525c4d9204e759 latency=737.6
WPT 0199745408f4144884a4dc5383de8a8b250c4b6e latency=737.916666667
WPT b339dcbb38df22974de21826a89a97ad89dc4960 latency=738.166666667
WPT 25a19c3d7ca9bed3078ea704c505f8f450891617 latency=738.45
WPT 156a751a6add5f1fb1665956e35bfc91044a1e85 latency=738.716666667
WPT 2b14b5434325e56b8fd6e5be3a07ed17bff9b36d latency=739.466666667
WPT 5991f556ad78cada7f04ecfb447ae13f44a85bfa latency=739.75
WPT daed786fcb12d4a7aa5dc8776c01abd9a2f031ab latency=740.25
WPT 53827a7ef8041d78ca8f860353a153196b76a6e7 latency=740.5
WPT 3d1c7bd1cfbe6b7629f8576467377a462f6e293c latency=740.8
WPT 70e680567af2fe19d7b40e8c4bf3213a0bb68a80 latency=741.416666667
WPT 8b24d162444ea9e45981aebdc64f620af04a5e35 latency=741.666666667
WPT 7b290a8b40b65494d5a9cbad8178a5a0444ac67c latency=742.2
WPT 3aa386acb4260ef000291264440a2b1ba745dda0 latency=742.483333333
WPT f1bd69306faa13f2798ea63ed240afb8404f8293 latency=742.783333333
WPT 3e83adabd3f95bf44e43327040b9d718e8fb939f latency=743.4
WPT 5c345ee43271a72d3baf8c5016a98d88645d0ea0 latency=743.666666667
WPT 07c9f6e6536010b44c4d3e187c1c121eb2334aa5 latency=744.183333333
WPT 52ee929ce8d15a2dd08486ad5a5cfde65d3014ae latency=744.466666667
WPT 49b07714222afe36bff1c6e63ffa184e9f869723 latency=744.716666667
WPT d2a954d18a5ce36448a96ccacd826fa1642d0d57 latency=745.483333333
WPT c0fd92bb67d4db2858ecf89f5fd6e42858827d80 latency=745.766666667
WPT a16508af0c66554ca623cd129eedf66277f66c9e latency=746.25
WPT 07ef1a11295f151801c697ea5c9713c6e86d8200 latency=746.533333333
WPT b91e3ee3a7f0eba02c98a0da9914d22a7389aa74 latency=746.783333333
WPT 785a19cbc08d3b64bd5e0f4ed3fb61a4df8ba637 latency=747.25
WPT c12724b62dbaae8bad4d456d6cb609369b89725c latency=747.5
WPT bca90fc364f60aa8a57e813dbfd298c930369917 latency=747.766666667
WPT 349b7a51e64b966ac55daf4f2d8d172a00a8d8ce latency=748.483333333
WPT fcc2b77270336047c083715e4a679047676739c8 latency=748.766666667
WPT 7a7ffa7985f8294ae5249f9229f47a21e65c24dd latency=749.133333333
WPT 8957e3545caa4d757e83688464bcfb191fccb168 latency=749.383333333
WPT 9d7eeab45d6b56c58a269df9cf332dac89a3108a latency=749.633333333
WPT 7df9cee5e7539e7ab9be2f4cc6fa3a4e03ed656d latency=749.916666667
WPT 7c86909a69a8551e0d0d810c2bcf8c0a2336f23f latency=750.483333333
WPT 5a70a3ba4b99ba46b8e1ea897ec3cafedfec418d latency=750.783333333
WPT 77fac285b6499bb54fde506784e91c385fca976c latency=751.266666667
WPT e66c5e096214ae0909b21fd62c37400fa8b6447e latency=751.516666667
WPT db26b61250eddd924eb020675dc829b2265a3d76 latency=751.766666667
WPT 8db74b7381c9b2591fc534eb648f53564984e3f5 latency=752.233333333
WPT ba2a6c7837a5da3c2f2b310952b443969f8975bc latency=752.5
WPT feee49ab53bf1db685ac292629dfe45c25c01c06 latency=752.766666667
WPT 96eaa3ebb135f88f894ad28f9fd085183f304651 latency=753.033333333
WPT 8188463fcbad63280437960d2e8eb46d0a475b0f latency=753.3
WPT 72fd805438dcb677327874e705b3d3ba21e58a71 latency=753.566666667
WPT 2ff0b09385e2ad927dc45b151bfc2c634416b39c latency=753.883333333
WPT 415fce5f5e89aab12c10cd20711dd6d2a22c6fd9 latency=754.166666667
WPT 9a27bcb1e70adddfc15c1a9263fff41f9715f147 latency=754.433333333
WPT 471b377f5ae95a5a0cfc12c36baff22865f6e306 latency=754.633333333
WPT e9abd16fd0938a1db2ef8de9daaf8c944abe0230 latency=754.633333333
WPT 793361b909bdae44063a5e7a34478e72c379ed3b latency=754.633333333
WPT a0736470be8643e6bbc0f1e3523c4bce83afe435 latency=754.633333333
WPT 3f1f755fe6d8312fc7d3add92f2ab273d5de31bd latency=754.633333333
WPT b53893bee297cd89ea1072562b5ebe987e50ec1b latency=754.633333333
WPT b2179588c95d4e4c910ecba43fad848305bbbe58 latency=754.65
WPT 51a6e1b45232f684d034a20355c23fb8e0728e17 latency=754.65
WPT 8327dec0ceed6edac07e63f9017ac1f120582cf7 latency=754.65
WPT 07e97aef97f201f1803b42647746c3a4b47ca26e latency=754.65
WPT d83a469d8de74582260c6effd0322e95a3de33cb latency=754.65
WPT 82d91c54b37f4b2d36dd218bd0e6cc9c6426fd7d latency=754.65
WPT 7330eed66bbb4a4e62e931e7028cae6af88b796a latency=754.65
WPT 8a8fe488d7babc2c2f330c05840fc842743329fa latency=754.65
WPT 9b27685dcef3586ec248805d7a8b8576183c562e latency=754.65
WPT ae362ca3a30899a3d2ef44778e88ab508264602f latency=754.65
WPT aa9cc112d480e3d406a4a31a077f7a34646e21cb latency=754.65
WPT b2a98e8d943f07b2a2b034ee50d9caef00b4a059 latency=754.65
WPT 65214b123c840c5161dbd4042300ca2a52e51fa3 latency=754.666666667
WPT 4fa024016ce3b02ee1b4577059f489e3093ba873 latency=754.666666667
WPT 9aef9784d596b2a7f5a583df2dff236d5d6f50f3 latency=754.666666667
WPT f3feccc0f5935f806dcea9eb40b2cca0cbc87ad9 latency=754.666666667
WPT a2b771466228e6a3c534cee9257350ca3e02f8a5 latency=754.666666667
WPT ce3a10eeb83210cac2722d73f7bf97887fd1cff1 latency=754.666666667
WPT f17cc496d75c1226d1358b9b843aa7f4b9dda2a8 latency=754.666666667
WPT be7a53b5ed3f282d8780c8c03e8878f534758a40 latency=754.666666667
WPT 0b1d7c5da0bff403d363c43f20c7f7227db42a48 latency=754.666666667
WPT 13364d69bcb5939af354d5fbe7e1f7ca2d49eab4 latency=754.666666667
WPT 0106e1b4b6af39136518a8d779d1bfba0f3e9372 latency=754.666666667
WPT dedfddce337d19f85b05647213ddc8f0ba8e0a96 latency=754.666666667
WPT ffee39bbb2771cbda38024b4139941e53c520e24 latency=754.666666667
WPT e224648de590b70109c9b2fa1fb51105c898fa51 latency=754.666666667
WPT d7a759adf3057a31d0f5ac66eeceb001bea0c8b6 latency=754.666666667
WPT d0f8636284357e215a50ca2e420526cd33fda79b latency=754.666666667
WPT 10c6d2fe97053c82fedc1d5e6e1e0d41c0cfdf33 latency=754.683333333
WPT 65e08a5d149a5e0d8f96cfdf5f182ede4c0c7051 latency=754.683333333
WPT d41d880618dfc0c57677452a6fcf1454ab8ba4b6 latency=754.683333333
WPT 966d149cdc93a330689e37c3560f7a94933aa9f4 latency=754.683333333
WPT 0e7559ca014db035a07b09244f1bd4b5539391af latency=754.683333333
WPT 7c25ecb076763a4eef5f2303f9b248fab52b34ad latency=754.683333333
WPT fce2031d379fce6ebb297e1554399274d37bb54d latency=754.683333333
WPT 41c3e6144620f9a1c677d4666c41611fb8f010c3 latency=754.683333333
WPT 27be72090f167ed7f6cd62ecffb5d5d1b0906f8c latency=754.683333333
WPT b27a73a7d9aab20cc3a8938cc3a6ffe90355568e latency=754.683333333
WPT 050ee8498f1a8e47b795b3bd76c5dbde5c10a86a latency=754.683333333
WPT f0cd54c0ed38c9ea0340b2ee340ef4be0801144d latency=754.683333333
WPT f67c0f8ff4c678d819284ab2d8c79a0edd436ec6 latency=754.683333333
WPT bbbf11c4484f552e51b9d9830f12129a8d7a0415 latency=754.683333333
WPT 86f5c222824dedccf907abbb2948a234226ad08a latency=754.683333333
WPT bf040c140a06c88e38566cf560925ca827e3e29c latency=754.683333333
WPT ed385985c04352e82a5218b01a2a6f2737aa7e39 latency=754.7
WPT 3eb5712dc6551242cee9cf7b81a477fd762abeae latency=754.7
WPT fc9fca188e32d2382578b74e4164c4ba4b65d9df latency=779.933333333
WPT 8d5cc2ca5b558517313ffd57898efd4f678d30bd latency=879.116666667
WPT 8088f1844a24d819d68007915e4fb2f4054b4e9b latency=912.766666667
16/199 import 56334569fbaf0a135d98ce370b4a5c936afe26b7
WPT e35365e753523716fa982f0e2e15840086b64391 latency=286.4
17/199 import c1319e8671e0348986abd01137ea412599e86931
WPT d3af74f37125dd74501ab6ae4c994ea88b173b0b latency=294.7
WPT 59ef1299c3c5c355ca6339487bab77a73a43f2bc latency=423.233333333
WPT a55204cdd6c0f1519580f3d3ad6580ed06d324ba latency=1441.78333333
WPT 0e906f05954e6108bb7ac63b8d30423acd6ee3f8 latency=2585.6
WPT 89aab34ec6930008d944225aa2d2f923f6c364d9 latency=2630.9
WPT fe2af6199c0310f65ecc38453da2877e7556aa6d latency=2675.33333333
WPT f7ac2d59dff7dc8929c4aa7988c26f51677cd300 latency=3674.66666667
18/199 import f7e1b89733952e88def8d22c1db5b07d8cb463a3
WPT f6496a1a01a367074c4d6e4f99a96614f40df9fa latency=262.633333333
WPT f0cd4b5e1cf9e8750e9f7b9335824a9f8a834d2c latency=374.966666667
WPT f81aa44e426b342a2362344a9375c6a42705ce4d latency=583.383333333
WPT d9869efc110fe335c361047c517e73412c90e427 latency=588.066666667
WPT 72a8da1f9cdc470f9d38d872f81e39fbabd01ae1 latency=681.316666667
WPT 34938ace1c4685c26a7f946f83b52dbcf3148d3f latency=3164.7
19/199 import 2edb6f2e3d3776590a62718373222344250d314b
WPT 63fc3cdadc1e69208daff6733a3d9c1e2b58cdfd latency=155.7
WPT 0420d43e8609b368c71455c8a4e70f0771a67ef0 latency=193.283333333
WPT 025b987042e4ecbb4db438299d649df8c575b375 latency=320.35
20/199 import 0656d70a2f94f59917377f4cad2bccfae60e88fc
WPT 770bad1295d2be37c6d2af76026e8fcddbcf3f22 latency=237.95
21/199 import 2e9725dc1c9d11ac4ccee54f26fa6e00a14ec1c0
WPT c1716b039411090428e7073158b1aea081dafe71 latency=610.083333333
WPT 7b015416f00cd6c4052a746847495f6814e3f680 latency=637.916666667
WPT 9ace60d269b6547b277d3997ca3b0558fe8a4b06 latency=1008.26666667
WPT 4d16912cf8a4f3da6f03dd5a77aa1abdd79a605e latency=1029.9
WPT 8a2ceb5f18911302b7a5c1cd2791f4ab50ad4326 latency=1054.81666667
WPT e0b265e96523e83676721ba8416c8d8570678540 latency=1055.01666667
WPT 8e9d4298305e8a4b4fbc7e7aa336ab7cc51f43f9 latency=1055.26666667
WPT 19d81543b41e3329e3f2a64d9a33e459b5dc6bcb latency=1055.81666667
WPT eeff14f91b4137d6d50d6e1b4c71e41e580debc1 latency=1055.98333333
WPT f4a1685980dbeae45576b8de79267e7c522d5953 latency=1056.21666667
WPT dbcd2538bd3bbf2c501e5d105bd091e6b43fa3c7 latency=1056.98333333
WPT ef59ab18421682fd5f92011a1d0776b6011ac6c7 latency=1057.2
WPT 6eb5c0e2d8960eb3227affed26b35a6c33ed7f76 latency=1057.58333333
WPT 944c7e996aa2750fdb4d8913c72eadb44ffd0cdb latency=1057.8
WPT 9e7b0f801552906739d8cfc0e6ce9bb08d831665 latency=1058.0
WPT b1d67e46f0c2906c90ddffb245716a35ddc3e90c latency=1058.25
WPT e7daf0c0a298954f5f2763a9beb491714458fe27 latency=1059.13333333
WPT 4071c2bbc51b9b707990c35a7f7475bd6304e2d2 latency=1059.31666667
WPT 22596c143bfd785e44d2c41f697b2a482034dad1 latency=1059.6
WPT d8899928353eed8633376f18126c0fc9581bdfa0 latency=1059.78333333
WPT 4a634e20be385e4e3da641a2e8a446d72bc5c8a5 latency=1059.96666667
WPT 10f7e609690ad37e9ce710a19b80f556b049f7e1 latency=1060.23333333
WPT 8ae8f78780a46a684b0f651f57833e5cd7905892 latency=1060.9
WPT a940929e6c166220ef0f0ca67cb39da4d3dd0c75 latency=1061.1
WPT afc942747507193b65fbb3204e274772befea4fb latency=1061.28333333
WPT 93df7f6ed167c4c8c56efa40cddd59ac0237d7f5 latency=1061.71666667
WPT ef718527d723838ed80838d374268ca525f08dfc latency=1061.91666667
WPT 29a1e613c09efd6ba4a6134cec3903140b13b47c latency=1062.1
WPT 0d71b59b0f5185ac8d74947de865fcb7e84e8aa4 latency=1062.76666667
WPT c9f1a93efa89a875381c6b65b2bbbf2a5991a851 latency=1062.95
WPT d23f6d90c6a40ee4481506828275bea490e3e97a latency=1063.18333333
WPT f829f73addc41555d73ea65a711c03abd8cedc1e latency=1063.36666667
WPT e474158d88dadc3721fe5b36f9444cc708fdde18 latency=1063.76666667
WPT 13ff5a2525380e2c8c0aa8c67c14181e9ac74fdf latency=1064.0
WPT 267e5882abf6db57b4b82bfd57ec912d0b526d92 latency=1064.25
WPT 3f6bb793c4394ad6ee1e36f851cec09187c6de02 latency=1064.55
WPT f8ae1a22df364712d1f20d92ebd7a4bc47fdf0f7 latency=1064.76666667
WPT c05fbc277499a6fe4653e21a5797cfbaacfe95d4 latency=1065.2
WPT 9286b74310cf10642fa05fc998b57bffb2e123f9 latency=1065.71666667
WPT 76b60e3eef4f01bccff0ac0a7d66bb5eec0355bb latency=1065.91666667
WPT 95ff2ae3738a0aaf4938b35ad95fb466b27ace93 latency=1066.13333333
WPT 3fd0ec84097b6d980fdbc7e78338cade25d37364 latency=1066.31666667
WPT 41e9455321b271f950a17b7bbfbbab46f2697647 latency=1067.08333333
WPT 054e46dfc68d15545e422bde77ab2009b7926675 latency=1067.28333333
WPT 1c9dfc539a56468ab5ade358cc600d86cf60fa0d latency=1067.81666667
WPT 768a805c28abbf529872f106d5ef90bf2b61b00d latency=1068.01666667
WPT 76fd1f07e16193fe6cb49cbbd86268c617fc4d3a latency=1068.23333333
WPT f80ffbb6d7f7584514ac367f7d6375526865fa69 latency=1069.16666667
WPT 1992d6229eedd0a64f780bc66cf5d10593a47fce latency=1069.56666667
WPT 6c80ac43c9aa57e4944b9379f39e28c278e2f381 latency=1069.8
WPT bd374a2783ef3bab438f63dd622fb2604c9697a4 latency=1070.0
WPT 380038af915363d57afbc45cefcad41dbdf60bde latency=1070.26666667
WPT 19f15f74ff4e5af1487ae58b430aaa47baac40d5 latency=1070.46666667
WPT c700611d85e61835da8d77f951fea8b52384395b latency=1070.66666667
WPT ecf0f624705ba2f9a6046bf33bb67e4898849f65 latency=1070.96666667
WPT 0669753e92161629ec57b8910051eccd1b611d32 latency=1070.96666667
WPT d0656820f7936b17aea757b9278b4feeb57ac4ec latency=1070.96666667
WPT dc2c1f224ced7bc0d50f7833c0f52ce73b7a7bfd latency=1070.96666667
WPT b67fcb97d46f55218e1eb30745e6606aaa0e193e latency=1070.96666667
WPT f480387d7c7f8e73ce1ec8301c59c3aed0dc2f42 latency=1070.96666667
WPT 12316f4380dd1f05c1a87779e7e227aa64f0c9d5 latency=1070.96666667
WPT c21ec7d3d02b5a07f5246270841f48ef80406c5d latency=1070.96666667
WPT 1f3902dd2aa88635299bf2f06a343e0bcf2c8f22 latency=1070.96666667
WPT 6ab14efd6f6d00b6a0bfce8d7bc1ccbb7974e983 latency=1070.96666667
